"","CN1_15_6","CN2_2","CN3_10","CN4_8","CN5_4_5","CN6_14","CN7_6","CN8_13","CN9_5","CN10_3","CN11_2_8","CN12_2_17","CN13_8","CN14_17","CN15_12","CN16_16_8","CN18_16","CN19_3","CN21_16","CN22_1","CN24_15","CN25_10","CN26_15_8","CN27_2","CN28_7","CN29_4","CN30_8_1","CN31_3","CN32_6","CN33_15_5","CN34_11","CN35_9","CN36_14","CN37_13","CN38_15_16","tsne_1","tsne_2","PhenoGraph"
"mADT-3.tsv",0.910599773352092,-0.271635455682284,2.59802292291162,0.0825937722196437,0.719076399486435,-0.351104658607676,-0.188440932697873,2.16088259863783,-0.18421708750266,-0.395979612940516,-0.335308161287168,0.0636685290027871,-0.693428638783596,-0.11442113222609,-0.109708076555884,-0.716325857864405,-0.0989193581770426,-0.23321893543268,-0.0166147359108668,-0.478345921038244,-0.264337087990826,0.468991416657309,1.01308436676239,0.0161683749756411,-0.504367845651891,1.56853871891934,-0.49062434150002,0.466378131135088,0.277045071945695,0.0710082740429729,-0.239271841783084,-0.483409164662265,-0.268493470468934,4.71012361901161,-0.305479310156667,0.438763991997148,-17.1631373597175,"SP_1"
"mADT-31.tsv",-0.156676992899642,-0.285398979117005,-0.66277133075055,-0.566421639667416,3.22630064014766,1.16553530799071,-0.269862622333991,-0.22675253371779,-0.203522438469308,-0.28550253476969,-0.193138394953279,3.43354682827036,-0.66785378936743,-0.11442113222609,-0.109708076555884,-0.532904568733253,-0.128705256587394,-0.194180328527516,-0.46689300510602,-0.479058014130464,-0.242495121133547,-0.352143068495748,-0.0448162420679152,0.126355805898811,-0.810323470167436,1.41352013758189,-0.493335727555863,0.516026638188409,-0.300691902958515,0.00890935304517193,-0.239271841783084,0.548500352238441,-0.110072220835897,-0.267117428644173,1.06864154848948,10.4372704824174,4.63373123383468,"SP_2"
"mADT-32.tsv",3.36316053919463,-0.348761317741857,2.77148751685217,-0.319718830014194,-0.50895275351165,-0.50333487555413,-0.247655835493858,-0.22675253371779,-0.0205774426452781,-0.234366012708908,-0.349238358486674,-0.102389847002715,-0.388889268689457,-0.11442113222609,-0.109708076555884,-0.249392744108827,-0.128705256587394,-0.181082436927376,-0.456010458695504,-0.479058014130464,0.137588606152096,0.567174151770465,3.03561086054457,-0.485038969678416,0.786311953438056,-0.477855747025542,-0.377501461787087,2.27052719741584,0.200267255963327,0.26998086067802,-0.239271841783084,-0.284860003651548,-0.308622948116175,-0.255633354448098,-0.138973726541469,14.9432959244633,-5.06582840062068,"SP_2"
"mADT-33.tsv",-0.326546626396321,-0.348761317741857,-0.0762325199142672,-0.581138266903539,0.375727091901105,-0.306568465879807,2.09266131478693,-0.22675253371779,-0.203522438469308,-0.243529771895311,-0.349238358486674,-0.537429171492738,-0.711284463590537,-0.11442113222609,-0.109708076555884,-0.71888555537815,-0.128705256587394,-0.281318976090151,-0.449708314084907,0.233921119223476,-0.324597047605448,-0.0345545777363116,-0.545776901958523,-0.485038969678416,-0.160884846286498,2.71634217233615,-0.463974764969532,0.0661795312535548,0.71559930904576,-0.37053445556645,-0.239271841783084,-0.485668986017393,-0.304444556910096,-0.267117428644173,-0.477077503998164,1.24214384991316,-6.24596414655337,"SP_1"
"mADT-34.tsv",-0.0870624548338574,-0.348761317741857,-0.896503330781354,-0.577042462884842,-0.400993607816015,-0.50333487555413,5.07693807863394,0.648239166381525,-0.187499344802362,-0.404778720610238,-0.349238358486674,-0.551355888280644,-0.711304548310925,-0.11442113222609,-0.109708076555884,-0.667897487136162,-0.128705256587394,-0.218655420142723,-0.521140793659491,-0.479058014130464,-0.427663977108966,-0.362827326308232,-0.412247546108516,-0.485038969678416,-0.835481411818756,0.0239330648037028,-0.493335727555863,0.212684184805741,1.61663151226221,-0.521503070844397,-0.239271841783084,-0.485668986017393,-0.308622948116175,0.661577800142686,-0.534244746161153,-3.40308451333365,-9.13752924587072,"SP_1"
"mADT-35.tsv",0.293080376082434,-0.345895327605583,-0.129524827462314,-0.533936995120846,0.153381932389599,-0.459562473354694,0.478433462073858,5.82057441994839,-0.126044846014799,-0.223504305046938,-0.346505193509361,-0.391438249960483,-0.707009334552838,-0.11442113222609,-0.109708076555884,-0.658618707778894,-0.128705256587394,-0.0659573613639221,-0.476973779860804,-0.473818673637732,1.14001363547206,0.297868784060597,-0.39907142827714,-0.430436347918848,0.818666638386412,0.201881480469802,-0.493335727555863,0.377514484760181,1.33255600418391,0.124728453663789,-0.239271841783084,-0.452414981276685,-0.308622948116175,2.60321621084125,-0.412681831230987,-0.362233567686686,-18.1680293863746,"SP_1"
"mADT-36.tsv",0.369063934727887,-0.348761317741857,0.291423126920889,0.387459651534659,-0.561726989336858,-0.487937680807356,-0.269584837558471,-0.22675253371779,-0.203522438469308,0.330788261282177,-0.349238358486674,-0.551355888280644,-0.602307524706893,-0.11442113222609,-0.109708076555884,0.757698375968835,-0.127131069102788,-0.214520566423133,1.39471947343864,0.609849516497343,1.04704031511339,-0.0862256815987521,3.20156693823345,-0.485038969678416,0.346061295599364,-0.477855747025542,-0.321021080593485,0.368847219662722,-0.263459486756541,-0.0614594668168769,-0.239271841783084,-0.472412059821309,-0.308622948116175,-0.267117428644173,0.526945508848229,13.4116941869209,-3.42201623560471,"SP_2"
"mADT-37.tsv",7.14556509571014,-0.348761317741857,-0.226967655625712,-0.566150473015475,-0.511209761774589,-0.50333487555413,-0.271236916015465,-0.22675253371779,0.488529099084872,-0.324605911453845,-0.349238358486674,-0.551355888280644,-0.698221891650849,-0.11442113222609,-0.109708076555884,-0.514164883822294,-0.128705256587394,-0.277621251271491,-0.175318683269981,-0.479058014130464,1.83086384716513,-0.177589134531486,0.437081991247181,-0.485038969678416,-0.626239173257156,-0.453785735343085,-0.493335727555863,0.523188645980279,-0.244949244130969,2.62594492297493,-0.239271841783084,-0.153936448914574,-0.308622948116175,-0.267117428644173,0.423030431941719,14.9299222627041,-6.99373568713915,"SP_2"
"mADT-38.tsv",-0.246055319382898,-0.140040258104493,-0.198437225052404,-0.5797581800374,2.90999270972022,-0.16568497234886,-0.271236916015465,-0.22675253371779,-0.202540801429692,-0.158699718446654,-0.330538667624564,1.21874053234521,-0.685031162238724,-0.11442113222609,-0.109708076555884,-0.498402464627167,-0.0737720777336319,-0.0294916448479788,1.06490778403968,-0.479058014130464,0.537080838700321,-0.0384844544251126,0.207090279606757,0.701987131092306,-0.427331843100455,1.94053585398119,-0.493335727555863,0.384785431528843,-0.30291405064078,0.54160083631489,-0.239271841783084,-0.392134503270273,-0.30581725969087,-0.267117428644173,0.4083550632689,10.8543212057695,4.2386666860444,"SP_2"
"mADT-39.tsv",-0.28834911251145,-0.348761317741857,1.02537936070128,-0.579693403232912,3.00361440846391,-0.216437870671059,-0.254910776558759,-0.22675253371779,-0.186051336158008,-0.399626137551101,-0.349238358486674,-0.551355888280644,-0.714901076057611,-0.11442113222609,-0.109708076555884,-0.715887739112935,-0.128705256587394,0.236593862508841,-0.502728073769148,-0.479058014130464,1.81410284646773,1.13555095441527,-0.542363506413285,-0.485038969678416,1.39738179686527,0.671743601974295,-0.493335727555863,2.24445625526334,-0.306530073619354,2.68280136225553,-0.239271841783084,-0.273939930423818,-0.296873434730364,-0.267117428644173,-0.18445898218942,14.4804619990582,3.02796683869584,"SP_2"
"mADT-4.tsv",0.073926423406625,-0.18748301847757,-0.612528521160134,-0.477684932801465,-0.587640446485735,-0.418179722674388,-0.246250943901054,3.45818654170994,-0.170672013849198,-0.404778720610238,-0.0815418557023598,3.3103953621055,-0.0200988983399373,-0.11442113222609,-0.109708076555884,-0.669057038909196,-0.128705256587394,-0.29848773240115,-0.521140793659491,-0.479058014130464,-0.10620230722746,-0.322783019489772,0.776343184959232,0.852216949454946,0.097731557708302,-0.477855747025542,-0.437509277204979,-0.577537956860897,-0.100104555455862,1.15469050347686,-0.239271841783084,-0.350312192422511,-0.308622948116175,4.37642213884299,-0.289695128180684,-0.410669359446583,-16.9644071536611,"SP_1"
"mADT-40.tsv",-0.160477299206312,-0.348761317741857,-0.610146275916586,-0.581138266903539,1.30591514596018,0.841141604888706,-0.118285010486734,-0.22675253371779,-0.187416365333927,0.17148364022994,-0.349238358486674,-0.551355888280644,-0.701501059186841,-0.11442113222609,-0.109708076555884,0.0264057229719894,-0.04475327370351,-0.14945992358568,0.126330757840719,-0.478463928923606,-0.0219796080436254,-0.31703235476787,-0.40430560995289,-0.485038969678416,-0.307631391652042,2.20276517721675,-0.493335727555863,0.748521826889849,0.252284845954573,-0.183232756851252,-0.239271841783084,-0.372549525776188,6.79734380219763,-0.267117428644173,0.846269371991375,7.78624780828664,7.88344390146997,"SP_2"
"mADT-41.tsv",1.55800921101418,-0.348761317741857,3.87793712879675,-0.563424830083134,-0.540745630152184,2.10277230917754,-0.246167399767899,-0.22675253371779,-0.105247688056372,-0.320553976702711,-0.349238358486674,-0.551355888280644,-0.431683966515668,-0.0968708361307782,-0.109708076555884,0.0553565690638416,-0.128705256587394,-0.295199571400139,-0.0176891279828628,-0.479058014130464,-0.323440034367411,-0.0758669774515187,0.930293755741408,-0.485038969678416,-0.201599969256681,-0.477855747025542,-0.49203806303828,0.364852527409808,-0.187761148456257,0.358135055564428,-0.239271841783084,2.22468644111064,0.457212164407665,-0.267117428644173,3.03745564372811,10.1053319513435,-0.567400795770602,"SP_2"
"mADT-42.tsv",-0.24372284808575,-0.346865203050159,1.07997609597739,0.0178980782151783,0.336961587239457,-0.50333487555413,-0.196696644534366,-0.22675253371779,-0.151196036692832,0.467923360463571,-0.259956572844915,3.98584280967073,-0.380777441700319,-0.11442113222609,-0.109708076555884,1.21864607982156,0.111313308550269,-0.0351201438416656,3.87411250988368,-0.479058014130464,-0.143076795921432,0.529550386499913,0.436257300344569,-0.0550480376837756,-0.817515670868341,0.107013130797053,-0.493335727555863,1.34844147846349,-0.213029790388026,-0.0719060911658407,-0.239271841783084,-0.367415940394969,-0.308622948116175,-0.0923074576512835,0.471067632828613,0.785366782298979,9.65134883842629,"SP_2"
"mADT-43.tsv",-0.348637103942634,-0.348761317741857,-0.915503564154594,-0.204110888557185,-0.573651284629527,-0.50333487555413,5.64380593049516,-0.22675253371779,-0.203522438469308,-0.244549564585567,-0.347767838003604,-0.292289679789727,-0.576394126383342,-0.11442113222609,-0.109708076555884,-0.645928680178192,-0.12615582097319,-0.29848773240115,-0.446456735426917,-0.479058014130464,-0.427663977108966,-0.362827326308232,-0.493241395936492,-0.460484421259752,-0.741975207845514,-0.477855747025542,-0.493335727555863,-0.652036620831624,1.46622427318164,-0.521503070844397,-0.239271841783084,-0.482090665972959,-0.308622948116175,-0.267117428644173,-0.528207425679519,-3.69154854989577,-9.64159960551421,"SP_1"
"mADT-44.tsv",0.0839201168893614,-0.348761317741857,2.19160546674157,-0.581138266903539,-0.276706327955614,-0.50333487555413,-0.204520247136889,-0.22675253371779,4.3209526423165,-0.40121539768439,-0.349238358486674,-0.551355888280644,-0.703305041526542,-0.11442113222609,-0.109708076555884,-0.704373356133799,-0.128705256587394,-0.295705467015661,-0.519983201858898,-0.479058014130464,0.676699153536073,1.67883235586492,-0.497983547965336,-0.485038969678416,-0.471647252289396,-0.448971028071415,-0.482355586777664,0.262114152453235,-0.137067209829349,5.54395131552268,-0.239271841783084,-0.460044881929985,-0.308622948116175,-0.260994074541602,0.0329289056049977,15.7503877054319,3.8043617454479,"SP_2"
"mADT-45.tsv",0.46701988560312,-0.348761317741857,1.6131681293353,-0.576497057301337,2.10345940228089,-0.50333487555413,-0.261172091227464,-0.22675253371779,-0.047264249712984,0.53312223562573,-0.349238358486674,-0.549858327181927,-0.716861320951607,-0.11442113222609,-0.109708076555884,-0.686786809273574,-0.128705256587394,4.70712856497073,-0.512179342926888,-0.479058014130464,-0.126651214315924,2.33230243013203,-0.0175920804118865,-0.485038969678416,-0.819613199831005,5.8854430984609,-0.493335727555863,2.91745881846618,0.571000059764805,0.0933033098091888,-0.239271841783084,-0.480001329465757,-0.308622948116175,-0.267117428644173,-0.328652356721707,15.0499406605865,0.456655763260899,"SP_2"
"mADT-46.tsv",-0.304450264913297,-0.345396725885883,1.44062662756255,-0.581138266903539,1.49355439177839,0.479914211815564,-0.261506767310399,-0.22675253371779,-0.200995868591012,0.220142670084056,-0.348347064360809,0.61427519749708,-0.712042172997741,-0.11442113222609,-0.109708076555884,-0.684492423800959,-0.126387406873596,0.0608754195350146,0.577603041046288,-0.477007734644223,-0.228161597793048,-0.12238204297854,-0.484318648591179,-0.416472214678512,1.63189873997058,0.136611438080794,-0.490733493255175,1.09544375274459,-0.296325196588828,0.975964912481367,-0.239271841783084,3.46163465543279,0.0644813577397997,-0.267117428644173,1.45761670345146,10.1174698117456,1.01177374038118,"SP_2"
