1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
N-25.tsv	72.8025883621746	3.75998823471739	0.465709103387421	0.0735330163243296	1.77459679396049	0.970635815481151	0.0196088043531546	8.61806951321143	1.5098779351929	4.16196872395706	0.00980440217657728	0.0196088043531546	0.00980440217657728	0.553948722976617	0.0490220108828864	4.16196872395706	1.03926663071719
mADT-15.tsv	71.8814303987542	0.0500528335465213	1.59056782158946	0.100105667093043	0.389299816472944	3.03653856848896	0.00556142594961348	3.48701407040765	1.31249652410878	6.24548134141594	0.0667371113953618	0	0.0389299816472944	0.0500528335465213	3.18669706912852	7.59690784717201	0.962126689283132
N-53.tsv	39.1488005100821	26.7314895991074	0.374591535825297	0.773093169681996	2.08017852873197	0.669482744879254	0	17.0797800270981	2.33521957440025	4.40742807045509	0.015940065354268	0.231130947636885	0	0.390531601179565	0.183310751574081	3.95313620785845	1.62588666613533
N-5.tsv	53.8601271571299	17.6909879907155	0.418811181753961	0.156423453426178	4.14269855686749	2.65415279039257	0	8.94136643455445	2.31607629427793	4.37481077808053	0	0.0252295892622868	0	0.0958724391966899	0.176607124836008	3.65324452517913	1.49359168432738
N-54.tsv	51.4765646166351	23.0669195340016	0.428068274180439	0.243836358710377	4.01517204009753	1.15957735031157	0	5.04470333243024	1.52262259550257	5.69493362232457	0.00541858574911948	0.0541858574911948	0.010837171498239	0.942833920346789	0.0866973719859117	3.68463830940125	2.56299105933351
N-39.tsv	35.8840922531047	3.85570668243643	1.05854523950325	0.940272028385571	4.28740390301597	2.58426966292135	0	21.4843287995269	6.38675340035482	7.14961561206387	0.177409816676523	0.5204021289178	0	0.88113542282673	2.4896510940272	8.97102306327617	3.32939089296274
N-44.tsv	39.6816263904872	2.85129778800665	0.722414013553254	1.52154455951924	3.56092571282445	4.06597621787495	0	16.3470144482803	6.74466180795295	4.24498146017133	0.0895026211481908	0.805523590333717	0.0127860887354558	7.74836977368623	0.255721774709116	8.07441503644035	3.27323871627669
N-43.tsv	35.3448771788529	5.52838980613243	1.10452741183915	0.287637346833113	0.511994477362941	1.0815164240925	0.00575274693666226	13.8526146234827	13.5764827705229	5.95409307944544	0.0172582408099868	0.379681297819709	0.0345164816199735	1.3864120117356	0.0287637346833113	13.2888454236898	7.61663694414083
N-51.tsv	45.3863157353622	1.61414691821313	0.8584794119159	0.704261553487894	1.50619441731352	2.50861049709556	0.0257029764046677	15.4988947720146	8.5231069757878	4.92983087441526	0	0.313576312136945	0.0411247622474683	0.385544646070015	0.226186192361075	13.8539042821159	3.62411967305814
N-3.tsv	36.6816807552292	1.18467328931943	1.41913987783057	3.22700067871907	11.2297155550071	4.34380206083791	0	19.0905164435121	1.46233109150367	11.2667365952983	0.0370210402912322	0.117233294255569	0.0246806935274881	1.51169247855865	2.14722033689147	3.80082680323317	2.45572900598507
N-37.tsv	37.947844195182	6.36565857352454	0.37389370060107	1.12168110180321	1.48137630744474	1.58076577216148	0	28.5011122154385	0.648397936485399	7.7571110795589	3.33664631549056	2.93435562497042	0.0331298215722467	0.57267263003455	1.03175730039283	2.27175919352549	4.04183823181409
N-4.tsv	32.6426858513189	11.8657074340528	1.35251798561151	0.666666666666667	6.22062350119904	2.4220623501199	0.00959232613908873	27.3429256594724	1.621103117506	6.54196642685851	0.0671462829736211	0.0191846522781775	0.00479616306954436	0.589928057553957	1.42446043165468	3.51079136690647	3.69784172661871
N-31.tsv	40.0654911838791	3.79345088161209	0.483627204030227	0.972292191435768	1.63727959697733	0.710327455919396	0.00503778337531486	15.7581863979849	3.75818639798489	10.6196473551637	0.498740554156171	2.04030226700252	0	3.29974811083123	0.272040302267003	2.90176322418136	13.183879093199
N-27.tsv	36.8736189322118	14.2347993442156	0.741321548221541	3.97034713807114	2.06714662484853	3.54978972129161	0.0213842754294675	13.1085608382636	2.33801411362178	6.91424905552784	5.43873405089457	0.17107420343574	0.0641528262884026	1.15475087319125	1.60382065721006	3.26466604889871	4.48356974837836
N-52.tsv	38.9512872286724	9.36395759717314	0.309187279151943	0.252397778899546	2.43563856638062	4.98485613326603	0.0126198889449773	12.8154972236244	2.21479050984351	4.58732963149924	0.176678445229682	5.17415446744069	0.113579000504796	0.0189298334174659	0.37228672387683	11.6292276627966	6.58758202927814
